"","state","cases","deaths","date","full","lat","long"
"72","AK","49.0","0.0",2020-09-16,"Alaska","64.0685","-152.2782"
"73","AK","66.0","0.0",2020-09-02,"Alaska","64.0685","-152.2782"
"74","AK","268.0","2.0",2020-12-24,"Alaska","64.0685","-152.2782"
"75","AK","83.0","0.0",2021-01-25,"Alaska","64.0685","-152.2782"
"76","AK","107.0","17.0",2021-02-02,"Alaska","64.0685","-152.2782"
"77","AK","0.0","0.0",2020-02-01,"Alaska","64.0685","-152.2782"
"78","AK","12.0","0.0",2020-06-16,"Alaska","64.0685","-152.2782"
"79","AK","81.0","1.0",2020-07-30,"Alaska","64.0685","-152.2782"
"80","AK","5.0","0.0",2020-03-30,"Alaska","64.0685","-152.2782"
"81","AK","490.0","1.0",2020-11-19,"Alaska","64.0685","-152.2782"
"82","AK","55.0","0.0",2020-08-05,"Alaska","64.0685","-152.2782"
"83","AK","3.0","0.0",2020-06-15,"Alaska","64.0685","-152.2782"
"84","AK","662.0","0.0",2020-11-27,"Alaska","64.0685","-152.2782"
"85","AK","543.0","1.0",2020-11-22,"Alaska","64.0685","-152.2782"
"86","AK","60.0","1.0",2020-08-12,"Alaska","64.0685","-152.2782"
"87","AK","86.0","0.0",2020-09-06,"Alaska","64.0685","-152.2782"
"88","AK","54.0","0.0",2020-09-23,"Alaska","64.0685","-152.2782"
"89","AK","517.0","18.0",2020-12-12,"Alaska","64.0685","-152.2782"
"90","AK","359.0","6.0",2020-10-29,"Alaska","64.0685","-152.2782"
"91","AK","120.0","0.0",2020-09-04,"Alaska","64.0685","-152.2782"
"92","AK","17.0","0.0",2020-06-23,"Alaska","64.0685","-152.2782"
"93","AK","670.0","0.0",2020-11-25,"Alaska","64.0685","-152.2782"
"94","AK","0.0","0.0",2020-02-18,"Alaska","64.0685","-152.2782"
"95","AK","0.0","0.0",2021-02-07,"Alaska","64.0685","-152.2782"
"96","AK","226.0","1.0",2020-10-16,"Alaska","64.0685","-152.2782"
"97","AK","27.0","0.0",2020-07-05,"Alaska","64.0685","-152.2782"
"98","AK","0.0","0.0",2020-02-16,"Alaska","64.0685","-152.2782"
"99","AK","17.0","0.0",2020-03-28,"Alaska","64.0685","-152.2782"
"100","AK","0.0","0.0",2020-02-05,"Alaska","64.0685","-152.2782"
"101","AK","82.0","0.0",2020-08-13,"Alaska","64.0685","-152.2782"
"102","AK","584.0","4.0",2020-12-09,"Alaska","64.0685","-152.2782"
"103","AK","33.0","4.0",2020-08-25,"Alaska","64.0685","-152.2782"
"104","AK","52.0","0.0",2020-07-15,"Alaska","64.0685","-152.2782"
"105","AK","330.0","1.0",2020-12-19,"Alaska","64.0685","-152.2782"
"106","AK","603.0","2.0",2020-12-16,"Alaska","64.0685","-152.2782"
"107","AK","85.0","1.0",2021-01-26,"Alaska","64.0685","-152.2782"
"108","AK","60.0","0.0",2020-07-13,"Alaska","64.0685","-152.2782"
"109","AK","62.0","0.0",2020-07-16,"Alaska","64.0685","-152.2782"
"110","AK","0.0","0.0",2020-02-25,"Alaska","64.0685","-152.2782"
"111","AK","46.0","1.0",2020-07-03,"Alaska","64.0685","-152.2782"
"112","AK","3.0","0.0",2020-05-18,"Alaska","64.0685","-152.2782"
"113","AK","0.0","0.0",2020-02-11,"Alaska","64.0685","-152.2782"
"114","AK","62.0","0.0",2020-09-13,"Alaska","64.0685","-152.2782"
"115","AK","0.0","0.0",2020-03-08,"Alaska","64.0685","-152.2782"
"116","AK","3.0","0.0",2020-03-20,"Alaska","64.0685","-152.2782"
"117","AK","0.0","0.0",2020-02-12,"Alaska","64.0685","-152.2782"
"118","AK","14.0","0.0",2020-03-31,"Alaska","64.0685","-152.2782"
"119","AK","177.0","0.0",2020-10-09,"Alaska","64.0685","-152.2782"
"120","AK","0.0","0.0",2020-02-23,"Alaska","64.0685","-152.2782"
"121","AK","0.0","0.0",2020-05-21,"Alaska","64.0685","-152.2782"
"122","AK","62.0","1.0",2020-07-18,"Alaska","64.0685","-152.2782"
"123","AK","220.0","0.0",2020-10-18,"Alaska","64.0685","-152.2782"
"124","AK","620.0","5.0",2020-12-10,"Alaska","64.0685","-152.2782"
"125","AK","93.0","2.0",2020-09-05,"Alaska","64.0685","-152.2782"
"126","AK","15.0","0.0",2020-04-12,"Alaska","64.0685","-152.2782"
"127","AK","103.0","0.0",2020-09-30,"Alaska","64.0685","-152.2782"
"128","AK","105.0","0.0",2020-09-17,"Alaska","64.0685","-152.2782"
"129","AK","0.0","0.0",2020-01-26,"Alaska","64.0685","-152.2782"
"130","AK","385.0","2.0",2020-12-30,"Alaska","64.0685","-152.2782"
"131","AK","26.0","0.0",2020-05-31,"Alaska","64.0685","-152.2782"
"132","AK","115.0","1.0",2021-02-09,"Alaska","64.0685","-152.2782"
"133","AK","160.0","22.0",2021-01-20,"Alaska","64.0685","-152.2782"
"134","AK","495.0","3.0",2020-12-31,"Alaska","64.0685","-152.2782"
"135","AK","11.0","0.0",2020-04-10,"Alaska","64.0685","-152.2782"
"136","AK","36.0","0.0",2020-06-30,"Alaska","64.0685","-152.2782"
"137","AK","57.0","0.0",2020-07-24,"Alaska","64.0685","-152.2782"
"138","AK","61.0","1.0",2020-08-03,"Alaska","64.0685","-152.2782"
"139","AK","144.0","0.0",2020-08-02,"Alaska","64.0685","-152.2782"
"140","AK","9.0","0.0",2020-04-17,"Alaska","64.0685","-152.2782"
"141","AK","290.0","0.0",2021-01-03,"Alaska","64.0685","-152.2782"
"142","AK","181.0","0.0",2021-02-03,"Alaska","64.0685","-152.2782"
"143","AK","8.0","0.0",2020-04-21,"Alaska","64.0685","-152.2782"
"144","AK","29.0","0.0",2020-06-28,"Alaska","64.0685","-152.2782"
"145","AK","46.0","0.0",2020-07-09,"Alaska","64.0685","-152.2782"
"146","AK","44.0","0.0",2020-08-30,"Alaska","64.0685","-152.2782"
"147","AK","0.0","0.0",2020-01-23,"Alaska","64.0685","-152.2782"
"148","AK","332.0","2.0",2021-01-14,"Alaska","64.0685","-152.2782"
"149","AK","8.0","0.0",2020-06-04,"Alaska","64.0685","-152.2782"
"150","AK","75.0","0.0",2020-07-20,"Alaska","64.0685","-152.2782"
"151","AK","0.0","0.0",2020-03-10,"Alaska","64.0685","-152.2782"
"152","AK","186.0","0.0",2020-07-26,"Alaska","64.0685","-152.2782"
"153","AK","128.0","1.0",2020-09-24,"Alaska","64.0685","-152.2782"
"154","AK","4.0","0.0",2020-05-30,"Alaska","64.0685","-152.2782"
"155","AK","498.0","0.0",2020-11-23,"Alaska","64.0685","-152.2782"
"156","AK","0.0","0.0",2020-02-02,"Alaska","64.0685","-152.2782"
"157","AK","82.0","0.0",2020-08-20,"Alaska","64.0685","-152.2782"
"158","AK","0.0","0.0",2020-02-07,"Alaska","64.0685","-152.2782"
"159","AK","612.0","0.0",2020-11-29,"Alaska","64.0685","-152.2782"
"160","AK","311.0","1.0",2021-01-09,"Alaska","64.0685","-152.2782"
"161","AK","8.0","0.0",2020-06-07,"Alaska","64.0685","-152.2782"
"162","AK","250.0","0.0",2021-01-10,"Alaska","64.0685","-152.2782"
"163","AK","4.0","0.0",2020-04-27,"Alaska","64.0685","-152.2782"
"164","AK","6.0","0.0",2020-06-22,"Alaska","64.0685","-152.2782"
"165","AK","139.0","0.0",2020-10-06,"Alaska","64.0685","-152.2782"
"166","AK","650.0","2.0",2020-11-28,"Alaska","64.0685","-152.2782"
"167","AK","110.0","0.0",2020-08-14,"Alaska","64.0685","-152.2782"
"168","AK","545.0","0.0",2020-11-18,"Alaska","64.0685","-152.2782"
"169","AK","9.0","0.0",2020-04-09,"Alaska","64.0685","-152.2782"
"170","AK","300.0","1.0",2021-01-15,"Alaska","64.0685","-152.2782"
"171","AK","10.0","0.0",2020-04-03,"Alaska","64.0685","-152.2782"
"172","AK","128.0","0.0",2021-01-31,"Alaska","64.0685","-152.2782"
"173","AK","2.0","0.0",2020-05-12,"Alaska","64.0685","-152.2782"
"174","AK","83.0","1.0",2020-08-15,"Alaska","64.0685","-152.2782"
"175","AK","191.0","0.0",2020-10-12,"Alaska","64.0685","-152.2782"
"176","AK","0.0","0.0",2020-03-12,"Alaska","64.0685","-152.2782"
"177","AK","381.0","4.0",2020-10-30,"Alaska","64.0685","-152.2782"
"178","AK","0.0","0.0",2020-02-24,"Alaska","64.0685","-152.2782"
"179","AK","46.0","0.0",2020-08-11,"Alaska","64.0685","-152.2782"
"180","AK","50.0","0.0",2020-08-17,"Alaska","64.0685","-152.2782"
"181","AK","0.0","0.0",2020-05-24,"Alaska","64.0685","-152.2782"
"182","AK","93.0","0.0",2020-09-20,"Alaska","64.0685","-152.2782"
"183","AK","587.0","1.0",2020-11-13,"Alaska","64.0685","-152.2782"
"184","AK","188.0","0.0",2020-10-04,"Alaska","64.0685","-152.2782"
"185","AK","69.0","0.0",2020-08-24,"Alaska","64.0685","-152.2782"
"186","AK","438.0","10.0",2020-12-22,"Alaska","64.0685","-152.2782"
"187","AK","278.0","3.0",2020-12-15,"Alaska","64.0685","-152.2782"
"188","AK","2.0","0.0",2020-05-07,"Alaska","64.0685","-152.2782"
